
                            < M A T L A B (R) >
                  Copyright 1984-2008 The MathWorks, Inc.
                         Version 7.6.0.324 (R2008a)
                             February 10, 2008

 
  To get started, type one of these: helpwin, helpdesk, or demo.
  For product information, visit www.mathworks.com.
 
  f113 in 20-D, instance 14: FEs=200001, fbest-ftarget=1.4061e+02, elapsed time [h]: 5.37
  f113 in 20-D, instance 15: FEs=200001, fbest-ftarget=1.1512e+02, elapsed time [h]: 5.41
      date and time: 2010    3   20    1   33   25
  f114 in 20-D, instance 1: FEs=200002, fbest-ftarget=5.3298e+02, elapsed time [h]: 5.45
  f114 in 20-D, instance 2: FEs=200003, fbest-ftarget=8.5950e+02, elapsed time [h]: 5.49
  f114 in 20-D, instance 3: FEs=200003, fbest-ftarget=4.9403e+02, elapsed time [h]: 5.52
  f114 in 20-D, instance 4: FEs=200004, fbest-ftarget=4.2957e+02, elapsed time [h]: 5.56
  f114 in 20-D, instance 5: FEs=200001, fbest-ftarget=2.7834e+02, elapsed time [h]: 5.60
  f114 in 20-D, instance 6: FEs=200003, fbest-ftarget=8.2512e+02, elapsed time [h]: 5.64
  f114 in 20-D, instance 7: FEs=200001, fbest-ftarget=5.4953e+02, elapsed time [h]: 5.67
  f114 in 20-D, instance 8: FEs=200002, fbest-ftarget=8.4264e+02, elapsed time [h]: 5.71
  f114 in 20-D, instance 9: FEs=200002, fbest-ftarget=5.0376e+02, elapsed time [h]: 5.75
  f114 in 20-D, instance 10: FEs=200004, fbest-ftarget=7.0793e+02, elapsed time [h]: 5.79
  f114 in 20-D, instance 11: FEs=200002, fbest-ftarget=4.3674e+02, elapsed time [h]: 5.83
  f114 in 20-D, instance 12: FEs=200004, fbest-ftarget=3.3832e+02, elapsed time [h]: 5.86
  f114 in 20-D, instance 13: FEs=200004, fbest-ftarget=5.2668e+02, elapsed time [h]: 5.90
  f114 in 20-D, instance 14: FEs=200001, fbest-ftarget=5.4847e+02, elapsed time [h]: 5.94
  f114 in 20-D, instance 15: FEs=200004, fbest-ftarget=4.0570e+02, elapsed time [h]: 5.98
      date and time: 2010    3   20    2    7   19
  f115 in 20-D, instance 1: FEs=200001, fbest-ftarget=2.6704e+00, elapsed time [h]: 6.01
  f115 in 20-D, instance 2: FEs=200002, fbest-ftarget=5.9434e+00, elapsed time [h]: 6.05
  f115 in 20-D, instance 3: FEs=200001, fbest-ftarget=4.6937e+00, elapsed time [h]: 6.09
  f115 in 20-D, instance 4: FEs=200004, fbest-ftarget=7.2675e+00, elapsed time [h]: 6.13
  f115 in 20-D, instance 5: FEs=200001, fbest-ftarget=3.4386e+00, elapsed time [h]: 6.16
  f115 in 20-D, instance 6: FEs=200002, fbest-ftarget=3.0254e+00, elapsed time [h]: 6.20
  f115 in 20-D, instance 7: FEs=200001, fbest-ftarget=5.6490e+00, elapsed time [h]: 6.24
  f115 in 20-D, instance 8: FEs=200002, fbest-ftarget=3.6254e+00, elapsed time [h]: 6.28
  f115 in 20-D, instance 9: FEs=200001, fbest-ftarget=2.9808e+00, elapsed time [h]: 6.32
  f115 in 20-D, instance 10: FEs=200004, fbest-ftarget=3.8305e+00, elapsed time [h]: 6.35
  f115 in 20-D, instance 11: FEs=200003, fbest-ftarget=5.4119e+00, elapsed time [h]: 6.39
  f115 in 20-D, instance 12: FEs=200001, fbest-ftarget=3.2917e+00, elapsed time [h]: 6.43
  f115 in 20-D, instance 13: FEs=200002, fbest-ftarget=4.6473e+00, elapsed time [h]: 6.47
  f115 in 20-D, instance 14: FEs=200004, fbest-ftarget=4.5122e+00, elapsed time [h]: 6.50
  f115 in 20-D, instance 15: FEs=200003, fbest-ftarget=5.0559e+00, elapsed time [h]: 6.54
      date and time: 2010    3   20    2   41   16
  f116 in 20-D, instance 1: FEs=200002, fbest-ftarget=3.0568e+04, elapsed time [h]: 6.58
  f116 in 20-D, instance 2: FEs=200001, fbest-ftarget=2.1181e+04, elapsed time [h]: 6.62
  f116 in 20-D, instance 3: FEs=200002, fbest-ftarget=1.8934e+04, elapsed time [h]: 6.66
  f116 in 20-D, instance 4: FEs=200004, fbest-ftarget=2.0581e+04, elapsed time [h]: 6.70
  f116 in 20-D, instance 5: FEs=200004, fbest-ftarget=3.7877e+04, elapsed time [h]: 6.74
  f116 in 20-D, instance 6: FEs=200004, fbest-ftarget=2.4970e+04, elapsed time [h]: 6.78
  f116 in 20-D, instance 7: FEs=200003, fbest-ftarget=1.8866e+04, elapsed time [h]: 6.82
  f116 in 20-D, instance 8: FEs=200003, fbest-ftarget=3.2924e+04, elapsed time [h]: 6.86
  f116 in 20-D, instance 9: FEs=200004, fbest-ftarget=1.5372e+04, elapsed time [h]: 6.90
  f116 in 20-D, instance 10: FEs=200003, fbest-ftarget=3.1654e+04, elapsed time [h]: 6.94
  f116 in 20-D, instance 11: FEs=200003, fbest-ftarget=2.0120e+04, elapsed time [h]: 6.97
  f116 in 20-D, instance 12: FEs=200003, fbest-ftarget=1.9512e+04, elapsed time [h]: 7.01
  f116 in 20-D, instance 13: FEs=200002, fbest-ftarget=2.4718e+04, elapsed time [h]: 7.05
  f116 in 20-D, instance 14: FEs=200004, fbest-ftarget=3.0454e+04, elapsed time [h]: 7.09
  f116 in 20-D, instance 15: FEs=200003, fbest-ftarget=2.2905e+04, elapsed time [h]: 7.13
      date and time: 2010    3   20    3   16   41
  f117 in 20-D, instance 1: FEs=200003, fbest-ftarget=3.5698e+04, elapsed time [h]: 7.17
  f117 in 20-D, instance 2: FEs=200003, fbest-ftarget=1.7775e+04, elapsed time [h]: 7.21
